operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,"-34.45179367,-58.88669586",125000.0,USD,1895300.0,125000.0,,,,,,,,http://pilar.properati.com.ar/rmf1_venta_casa_pilar
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|,"-34.5233704,-58.4877464",,,,,120.0,110.0,,,,4.0,,http://vicente-lopez-bs-as-g-b-a-zona-norte.properati.com.ar/mp83_venta_casa_vicente-lopez
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|La Plata|,"-34.9234786,-57.9906139",,,,,55.0,55.0,,,,3.0,,http://la-plata.properati.com.ar/phiq_venta_departamentos_la-plata
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.659475,-58.55513",249000.0,USD,3775437.6,249000.0,,198.0,,1257.5757575757575,,4.0,,http://ramos-mejia.properati.com.ar/10yzg_venta_casa_la-matanza_suite_lavadero_parrilla_patio_piscina_terraza_luminoso_garage_placard_re-max-total-ii
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,"-34.4996796,-58.4860549",220000.0,USD,3335728.0,220000.0,84.0,53.0,2619.0476190476197,4150.943396226415,1.0,,,http://la-lucila.properati.com.ar/11941_venta_departamentos_la-lucila_doctor-jose-ingenieros_600_garage_estrenar_castro-feijoo-propiedades_arr
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.6878049178,-58.4931485218",,,,,748.0,,,,,,,http://la-matanza.properati.com.ar/v6x1_venta_casa_la-matanza
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.587784686,-58.3865802491",645000.0,USD,9779748.0,645000.0,195.0,162.0,3307.692307692308,3981.481481481481,,7.0,9000,http://barrio-norte.properati.com.ar/10cm9_venta_departamentos_barrio-norte_balcon_suite_toilette_luminoso_dependencias_placard_durban-keiller-asesoramiento-inmobiliario_bx8
sell,house,|Argentina|Capital Federal|Mataderos|,"-34.6666023,-58.503177",200000.0,USD,3032480.0,200000.0,340.0,170.0,588.2352941176471,1176.470588235294,,4.0,,http://mataderos.properati.com.ar/1085i_venta_casa_mataderos_baulera_lavadero_parrilla_patio_terraza_luminoso_garage_zappino-propiedades_b3e
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,"-34.7082789,-58.4025615",190000.0,USD,2880856.0,190000.0,,,,,,3.0,,http://lanus-oeste.properati.com.ar/myk8_venta_casa_lanus-oeste
sell,apartment,|Argentina|Capital Federal|Villa Pueyrredón|,"-34.590144,-58.504588",99000.0,USD,1501077.6,99000.0,,42.0,,2357.1428571428573,5.0,2.0,,http://villa-pueyrredon.properati.com.ar/1174b_venta_departamentos_villa-pueyrredon_luminoso_urquiza
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5628625,-58.4436593",310000.0,USD,4700344.0,310000.0,160.0,150.0,1937.5,2066.6666666666665,,4.0,4000,http://belgrano.properati.com.ar/11otg_venta_departamentos_belgrano_lavadero_patio_lujoso_dependencias_asempro_dcw
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,110000.0,USD,1667864.0,110000.0,128.0,90.0,859.375,1222.2222222222222,,3.0,,http://haedo.properati.com.ar/s8il_venta_ph_moron
sell,store,|Argentina|Capital Federal|Belgrano|,"-34.5652276,-58.4402713",400000.0,USD,6064960.0,400000.0,100.0,100.0,4000.0,4000.0,,4.0,,http://belgrano.properati.com.ar/rv1v_venta_local_belgrano
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.644903,-58.5732756",620000.0,USD,9400688.0,620000.0,673.0,500.0,921.2481426448736,1240.0,,,,http://ramos-mejia.properati.com.ar/whit_venta_casa_ramos-mejia
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.6393889,-58.6568538",250000.0,USD,3790600.0,250000.0,200.0,200.0,1250.0,1250.0,,,,http://ituzaingo.properati.com.ar/l9a6_venta_casa_ituzaingo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,,47.0,,,,2.0,,http://ramos-mejia.properati.com.ar/s99r_venta_departamentos_la-matanza
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,,800000.0,USD,12129920.0,800000.0,2400.0,575.0,333.3333333333333,1391.304347826087,,6.0,,http://pilar.properati.com.ar/117py_venta_casa_pilar_gimnasio_piscina_quincho_sum_garage_tenis_arkanian-propiedades
sell,apartment,|Argentina|Capital Federal|Parque Patricios|,,154500.0,USD,2342590.8,154500.0,147.0,120.0,1051.0204081632653,1287.5,,4.0,,http://parque-patricios.properati.com.ar/11orj_venta_departamentos_parque-patricios_balcon_lavadero_patio_toilette_garage_doble-circulacion_asempro_dcw
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5900076,-58.3829552",590000.0,USD,8945816.0,590000.0,157.0,140.0,3757.9617834394894,4214.285714285715,,4.0,,http://barrio-norte.properati.com.ar/10b09_venta_departamentos_barrio-norte_luminoso_dependencias_garage_migliorisi-propiedades_cy0
sell,apartment,|Argentina|Capital Federal|Recoleta|,"-34.5952525271,-58.396130046",350000.0,USD,5306840.0,350000.0,115.0,115.0,3043.478260869565,3043.478260869565,,4.0,,http://recoleta.properati.com.ar/12txo_venta_departamentos_recoleta_balcon_dependencias_garage_subte-linea-d_subte-linea-h_zuker-propiedades_dkh
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6177126,-58.4217103",72000.0,USD,1091692.8,72000.0,45.0,45.0,1600.0,1600.0,,2.0,,http://almagro.properati.com.ar/111fx_venta_departamentos_almagro_luminoso_migliorisi-propiedades_cy1
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,4360383.0,ARS,4348280.8,286780.51,147.0,108.0,1950.887823129252,40373.91666666666,,,,http://nordelta.properati.com.ar/1195m_venta_departamentos_nordelta_parrilla_toilette_vestidor_luminoso_rosario-costantini-csi-6033
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.5992315,-58.4259648",86000.0,USD,1303966.4,86000.0,31.0,28.0,2774.1935483870966,3071.428571428572,,2.0,,http://almagro.properati.com.ar/12pfw_venta_departamentos_almagro_balcon_luminoso_subte-linea-b_migliorisi-propiedades_cy3
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|,"-34.4768138,-58.5716482",305000.0,USD,4624532.0,305000.0,315.0,158.0,968.2539682539684,1930.379746835443,,,,http://bs-as-g-b-a-zona-norte.properati.com.ar/yanl_venta_casa_bs-as-g-b-a-zona-norte_quito_2500_baulera_suite_lavadero_parrilla_piscina_luminoso_vista_garage_ramos-l-j-lomas-de-san-isidro
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.577168,-58.538654",,,,,,,,,,3.0,,http://tres-de-febrero.properati.com.ar/ph6m_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,,,,,,,,,,,,http://nordelta.properati.com.ar/w1da_venta_departamentos_nordelta
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Merlo|Merlo|,"-34.6870781,-58.7829935",140000.0,USD,2122736.0,140000.0,373.0,300.0,375.3351206434317,466.6666666666667,,,,http://merlo.properati.com.ar/12kvn_venta_casa_merlo_hidromasaje_jardin_lavadero_patio_terraza_garage_lis-calveiro-propiedades-ituzaingo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.50704,-58.477364",765000.0,USD,11599236.0,765000.0,,135.0,,5666.666666666667,3.0,4.0,,http://olivos.properati.com.ar/z233_venta_departamentos_olivos_parrilla_dependencias_garage_vicente-lopez
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Sáenz Peña|,"-34.6021425,-58.537245",77000.0,USD,1167504.8,77000.0,44.0,40.0,1750.0,1925.0,4.0,2.0,1200,http://saenz-pena.properati.com.ar/ps51_venta_departamentos_saenz-pena
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|Ituzaingó|,"-34.66028976,-58.67717361",130000.0,USD,1971112.0,130000.0,,,,,,,,http://ituzaingo.properati.com.ar/w4wb_venta_casa_ituzaingo
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Estancias del Pilar|,,470000.0,USD,7126328.0,470000.0,400.0,400.0,1175.0,1175.0,,3.0,,http://estancias-del-pilar.properati.com.ar/z3lq_venta_casa_estancias-del-pilar_lavadero_parrilla_piscina_dependencias_izrastzoff-agentes-inmobiliarios
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.4311522,-58.8652795",1395480.0,ARS,1391606.73,91780.11,82.0,40.0,1119.2696341463416,34887.0,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/s2an_venta_departamentos_pilar
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,,90000.0,USD,1364616.0,90000.0,,95.0,,947.3684210526316,,3.0,,http://lomas-del-mirador.properati.com.ar/s7ze_venta_departamentos_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,,,,,,42.0,,,,2.0,,http://haedo.properati.com.ar/sbdy_venta_departamentos_moron
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|,"-34.5909649562,-58.6466908735",750000.0,ARS,747918.28,49327.17,,,,,,,,http://hurlingham-bs-as-g-b-a-zona-oeste.properati.com.ar/gjhy_venta_casa_hurlingham
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Banfield|,"-34.7407841449,-58.3816221181",143000.0,USD,2168223.2,143000.0,0.0,0.0,,,,4.0,,http://banfield.properati.com.ar/rbzx_venta_casa_banfield
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,159000.0,USD,2410821.6,159000.0,74.0,49.0,2148.6486486486488,3244.8979591836733,,2.0,,http://nordelta.properati.com.ar/11okw_venta_departamentos_nordelta_gimnasio_jardin_lavadero_parrilla_piscina_sum_vista_garage_aire-acondicionado_latitud-ns_dck
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,,80000.0,USD,1212992.0,80000.0,,52.0,,1538.4615384615386,,3.0,,http://villa-luzuriaga.properati.com.ar/11h8h_venta_departamentos_villa-luzuriaga_lavadero_patio_impecable_placard_sabadell-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,75000.0,USD,1137180.0,75000.0,,52.0,,1442.3076923076924,,2.0,,http://ramos-mejia.properati.com.ar/sbyt_venta_departamentos_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6522009366,-58.5709567577",,,,,,42.0,,,,,,http://ramos-mejia.properati.com.ar/xmp1_venta_departamentos_ramos-mejia_patio
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.450503,-58.5318654",150800.0,USD,2286489.92,150800.0,0.0,65.0,,2320.0,1.0,,,http://victoria.properati.com.ar/12p6r_venta_departamentos_victoria_avenida-del-libertador_3300_balcon_suite_parrilla_piscina_vestidor_garage_estrenar_lencke-propiedades-martinez
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Lomas del Mirador|,,50000.0,USD,758120.0,50000.0,,38.0,,1315.7894736842106,,2.0,,http://lomas-del-mirador.properati.com.ar/s611_venta_departamentos_la-matanza
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6404786,-58.7073961",75000.0,USD,1137180.0,75000.0,200.0,,375.0,,,6.0,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/rsmd_venta_casa_ituzaingo
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.583754,-58.425947",116000.0,USD,1758838.4,116000.0,,36.0,,3222.222222222222,,2.0,,http://palermo.properati.com.ar/yk4c_venta_departamentos_almagro_balcon_impecable_estrenar_re-max-city
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|San Justo|,"-34.6813072562,-58.5693426013",110000.0,USD,1667864.0,110000.0,135.0,75.0,814.8148148148148,1466.6666666666667,,3.0,,http://san-justo-la-matanza.properati.com.ar/uc9t_venta_ph_san-justo
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,100000.0,USD,1516240.0,100000.0,,42.0,,2380.9523809523807,,2.0,,http://ramos-mejia.properati.com.ar/10cos_venta_departamentos_ramos-mejia_patio_quincho_garage_estrenar_berto-inmuebles
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.506033,-58.482268",190000.0,USD,2880856.0,190000.0,,60.0,,3166.6666666666665,2.0,3.0,,http://olivos.properati.com.ar/yvk6_venta_departamentos_olivos_suite_gimnasio_parrilla_piscina_vestidor_lujoso_garage_acassuso
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.553292,-58.457291",87000.0,USD,1319128.8,87000.0,,33.0,,2636.3636363636365,2.0,1.0,,http://belgrano.properati.com.ar/fw5y_venta_departamento_belgrano
sell,apartment,|Argentina|Capital Federal|,,80000.0,USD,1212992.0,80000.0,,50.0,,1600.0,,2.0,,http://capital-federal.properati.com.ar/10ut6_venta_departamentos_capital-federal_garage_lenge-propiedades-suc-luzuriaga
